CaseId,AccountId,AccountName,CaseType,Priority,Status,Product,CreatedDate,ResolvedDate,Resolution_Days,SLA_Respected,TechnicianAssigned,Region,Description
CAS00161,ACC0028,Belgian Air Force,Warranty Claim,Medium,Closed,Rafale F4,2022-09-11,2023-01-02,113.0,False,Thomas Laurent,Europe,Structural inspection due — spare needed
CAS00162,ACC0005,Hellenic Air Force,Technical Issue,High,Escalated,MRO Contract Rafale,2023-02-19,,,,Claire Vidal,Europe,Engine vibration anomaly reported during training
CAS00163,ACC0006,Qatar Emiri Air Force,Warranty Claim,Medium,Escalated,Rafale F4,2021-02-23,,,,Claire Vidal,Middle East,Structural inspection due — spare needed
CAS00164,ACC0002,Indian Navy,Warranty Claim,Low,Closed,Rafale F4,2021-04-24,2021-10-02,161.0,False,Julie Petit,Africa,Structural inspection due — spare needed
CAS00165,ACC0001,Indian Air Force,Training Request,High,In Progress,MRO Contract Rafale,2022-10-08,,,,Luc Fabre,Asia,Structural inspection due — spare needed
CAS00166,ACC0022,Lockheed Martin India,Warranty Claim,Medium,Closed,Falcon 8X,2024-01-22,2024-04-24,93.0,False,Pierre Renard,Africa,Documentation missing for customs
CAS00167,ACC0006,Qatar Emiri Air Force,Training Request,Medium,Closed,Falcon 8X,2022-02-22,2022-06-24,122.0,False,Claire Vidal,Middle East,Documentation missing for customs
CAS00168,ACC0019,Collins Aerospace India,Delivery Delay,Critical,Closed,Falcon 6X,2023-05-19,2023-10-17,151.0,False,Claire Vidal,Europe,Engine vibration anomaly reported during training
CAS00169,ACC0002,Indian Navy,Spare Part Urgent,Medium,Escalated,Rafale F4,2023-11-16,,,,Thomas Laurent,Africa,Documentation missing for customs
CAS00170,ACC0018,Honeywell India,Documentation,Medium,In Progress,Falcon 8X,2023-11-15,,,,Pierre Renard,Europe,Avionics software update required
CAS00171,ACC0015,MBDA India,Warranty Claim,Low,Closed,Falcon 8X,2021-07-22,2021-12-13,144.0,False,Thomas Laurent,Europe,Engine vibration anomaly reported during training
CAS00172,ACC0019,Collins Aerospace India,Technical Issue,Low,In Progress,Rafale F3-R,2020-02-17,,,,Thomas Laurent,Europe,Spare part not delivered on time
CAS00173,ACC0028,Belgian Air Force,Documentation,High,Closed,Falcon 6X,2023-01-16,2023-04-17,91.0,False,Luc Fabre,Europe,Engine vibration anomaly reported during training
CAS00174,ACC0025,Malaysian RMAF,Spare Part Urgent,Low,Open,Rafale F4,2023-11-14,,,,Claire Vidal,Europe,Avionics software update required
CAS00175,ACC0001,Indian Air Force,Delivery Delay,Medium,Closed,Rafale F3-R,2023-12-09,2024-03-20,102.0,False,Thomas Laurent,Asia,Documentation missing for customs
CAS00176,ACC0007,Indonesian Air Force,Delivery Delay,High,Closed,Rafale F3-R,2020-05-24,2020-06-08,15.0,True,Pierre Renard,Asia,Maintenance contract renewal query
CAS00177,ACC0022,Lockheed Martin India,Spare Part Urgent,Medium,Closed,MRO Contract Rafale,2022-05-02,2022-10-12,163.0,False,Claire Vidal,Africa,Documentation missing for customs
CAS00178,ACC0005,Hellenic Air Force,Delivery Delay,Medium,Closed,Rafale F4,2024-02-27,2024-05-29,92.0,False,Thomas Laurent,Europe,Engine vibration anomaly reported during training
CAS00179,ACC0026,Singapore Air Force,Spare Part Urgent,Medium,Closed,Falcon 8X,2024-08-07,2024-10-14,68.0,False,Claire Vidal,Middle East,Documentation missing for customs
CAS00180,ACC0020,Rolls-Royce India,Training Request,Medium,Closed,Rafale F3-R,2022-12-22,2023-03-23,91.0,False,Pierre Renard,Europe,Avionics software update required
CAS00181,ACC0024,Royal Saudi Air Force,Documentation,Low,Closed,Rafale F4,2021-03-01,2021-07-06,127.0,False,Thomas Laurent,Middle East,Maintenance contract renewal query
CAS00182,ACC0004,UAE Air Force,Delivery Delay,Low,In Progress,Rafale F3-R,2021-07-25,,,,Pierre Renard,Middle East,Spare part not delivered on time
CAS00183,ACC0020,Rolls-Royce India,Delivery Delay,Medium,Closed,Rafale F3-R,2021-05-04,2021-10-22,171.0,False,Thomas Laurent,Europe,Avionics software update required
CAS00184,ACC0030,Kuwait Air Force,Warranty Claim,Low,Closed,Falcon 8X,2022-01-13,2022-07-03,171.0,False,Thomas Laurent,Europe,Documentation missing for customs
CAS00185,ACC0022,Lockheed Martin India,Delivery Delay,Medium,Open,MRO Contract Rafale,2023-02-10,,,,Luc Fabre,Africa,Engine vibration anomaly reported during training
CAS00186,ACC0001,Indian Air Force,Delivery Delay,Medium,Open,MRO Contract Rafale,2022-12-05,,,,Julie Petit,Asia,Spare part not delivered on time
CAS00187,ACC0002,Indian Navy,Documentation,Medium,Closed,MRO Contract Rafale,2024-05-07,2024-07-21,75.0,False,Claire Vidal,Africa,Spare part not delivered on time
CAS00188,ACC0026,Singapore Air Force,Training Request,Medium,Closed,Falcon 8X,2020-07-06,2020-10-22,108.0,False,Pierre Renard,Middle East,Spare part not delivered on time
CAS00189,ACC0020,Rolls-Royce India,Delivery Delay,Low,Closed,Rafale F4,2021-05-10,2021-07-17,68.0,False,Thomas Laurent,Europe,Spare part not delivered on time
CAS00190,ACC0024,Royal Saudi Air Force,Delivery Delay,Medium,Closed,MRO Contract Rafale,2020-06-29,2020-11-10,134.0,False,Pierre Renard,Middle East,Engine vibration anomaly reported during training
CAS00191,ACC0027,Swiss Air Force,Technical Issue,High,Open,Falcon 6X,2022-11-12,,,,Thomas Laurent,Asia,Spare part not delivered on time
CAS00192,ACC0003,Armée de l'Air française,Documentation,Medium,Escalated,MRO Contract Rafale,2021-11-20,,,,Thomas Laurent,Europe,Structural inspection due — spare needed
CAS00193,ACC0022,Lockheed Martin India,Delivery Delay,Low,Closed,Rafale F3-R,2023-04-17,2023-07-14,88.0,False,Claire Vidal,Africa,Documentation missing for customs
CAS00194,ACC0016,Reliance Defence,Technical Issue,Medium,Open,MRO Contract Rafale,2021-10-15,,,,Julie Petit,Middle East,Structural inspection due — spare needed
CAS00195,ACC0007,Indonesian Air Force,Technical Issue,Medium,Closed,MRO Contract Rafale,2019-09-26,2019-11-22,57.0,False,Claire Vidal,Asia,Engine vibration anomaly reported during training
CAS00196,ACC0016,Reliance Defence,Training Request,Low,Closed,Rafale F4,2021-05-08,2021-09-05,120.0,False,Luc Fabre,Middle East,Spare part not delivered on time
CAS00197,ACC0020,Rolls-Royce India,Technical Issue,Medium,Closed,MRO Contract Rafale,2024-05-05,2024-07-15,71.0,False,Claire Vidal,Europe,Engine vibration anomaly reported during training
CAS00198,ACC0029,Finnish Air Force,Documentation,Low,Closed,Falcon 8X,2020-10-16,2021-02-10,117.0,False,Julie Petit,Europe,Maintenance contract renewal query
CAS00199,ACC0027,Swiss Air Force,Spare Part Urgent,Medium,Closed,Rafale F3-R,2019-04-20,2019-08-04,106.0,False,Julie Petit,Asia,Engine vibration anomaly reported during training
CAS00200,ACC0016,Reliance Defence,Spare Part Urgent,Medium,In Progress,Rafale F3-R,2020-09-09,,,,Pierre Renard,Middle East,Engine vibration anomaly reported during training
CAS00201,ACC0017,GE Aviation India,Spare Part Urgent,Low,Closed,Falcon 8X,2022-02-17,2022-04-21,63.0,False,Julie Petit,Asia,Avionics software update required
CAS00202,ACC0025,Malaysian RMAF,Delivery Delay,Critical,In Progress,MRO Contract Rafale,2019-06-04,,,,Julie Petit,Europe,Structural inspection due — spare needed
CAS00203,ACC0024,Royal Saudi Air Force,Training Request,Medium,Closed,MRO Contract Rafale,2024-03-17,2024-04-16,30.0,True,Luc Fabre,Middle East,Spare part not delivered on time
CAS00204,ACC0006,Qatar Emiri Air Force,Spare Part Urgent,Medium,Open,Falcon 6X,2021-03-16,,,,Luc Fabre,Middle East,Structural inspection due — spare needed
CAS00205,ACC0010,Safran Group,Delivery Delay,Low,Closed,Falcon 8X,2019-10-02,2019-10-06,4.0,True,Luc Fabre,Europe,Spare part not delivered on time
CAS00206,ACC0030,Kuwait Air Force,Spare Part Urgent,Medium,In Progress,Falcon 6X,2019-04-09,,,,Claire Vidal,Europe,Structural inspection due — spare needed
CAS00207,ACC0023,Egyptian Air Force,Spare Part Urgent,High,Closed,Rafale F3-R,2024-06-07,2024-11-29,175.0,False,Julie Petit,Europe,Documentation missing for customs
CAS00208,ACC0019,Collins Aerospace India,Warranty Claim,Medium,Closed,Falcon 6X,2020-02-02,2020-02-14,12.0,True,Pierre Renard,Europe,Spare part not delivered on time
CAS00209,ACC0013,Tata Advanced Systems,Training Request,High,Closed,Rafale F4,2023-08-16,2024-02-06,174.0,False,Julie Petit,Europe,Avionics software update required
CAS00210,ACC0011,Thales Group,Warranty Claim,Medium,Closed,Rafale F4,2020-03-03,2020-04-04,32.0,False,Luc Fabre,Asia,Documentation missing for customs
CAS00211,ACC0026,Singapore Air Force,Documentation,High,Closed,Rafale F3-R,2021-07-14,2021-09-22,70.0,False,Claire Vidal,Middle East,Avionics software update required
CAS00212,ACC0005,Hellenic Air Force,Warranty Claim,Medium,Closed,Falcon 8X,2020-03-10,2020-06-17,99.0,False,Julie Petit,Europe,Spare part not delivered on time
CAS00213,ACC0028,Belgian Air Force,Documentation,Medium,In Progress,Falcon 6X,2022-03-19,,,,Claire Vidal,Europe,Engine vibration anomaly reported during training
CAS00214,ACC0015,MBDA India,Warranty Claim,Medium,Closed,Falcon 6X,2023-09-15,2024-03-12,179.0,False,Claire Vidal,Europe,Structural inspection due — spare needed
CAS00215,ACC0003,Armée de l'Air française,Documentation,Low,In Progress,Falcon 6X,2019-12-19,,,,Pierre Renard,Europe,Avionics software update required
CAS00216,ACC0010,Safran Group,Delivery Delay,Medium,Closed,Falcon 6X,2020-01-11,2020-06-19,160.0,False,Julie Petit,Europe,Structural inspection due — spare needed
CAS00217,ACC0029,Finnish Air Force,Technical Issue,Critical,Closed,Rafale F4,2022-07-22,2022-11-21,122.0,False,Claire Vidal,Europe,Structural inspection due — spare needed
CAS00218,ACC0007,Indonesian Air Force,Warranty Claim,Medium,Closed,MRO Contract Rafale,2020-03-24,2020-06-01,69.0,False,Julie Petit,Asia,Spare part not delivered on time
CAS00219,ACC0030,Kuwait Air Force,Spare Part Urgent,Critical,Closed,Falcon 6X,2021-11-25,2022-03-18,113.0,False,Luc Fabre,Europe,Documentation missing for customs
CAS00220,ACC0002,Indian Navy,Training Request,High,Closed,MRO Contract Rafale,2024-05-30,2024-07-21,52.0,False,Thomas Laurent,Africa,Documentation missing for customs
CAS00221,ACC0013,Tata Advanced Systems,Spare Part Urgent,High,Closed,Rafale F3-R,2020-12-31,2021-06-28,179.0,False,Pierre Renard,Europe,Maintenance contract renewal query
CAS00222,ACC0024,Royal Saudi Air Force,Warranty Claim,Medium,Closed,Rafale F3-R,2020-10-13,2020-12-06,54.0,False,Pierre Renard,Middle East,Documentation missing for customs
CAS00223,ACC0013,Tata Advanced Systems,Delivery Delay,Low,Closed,Rafale F3-R,2024-06-04,2024-06-23,19.0,True,Luc Fabre,Europe,Structural inspection due — spare needed
CAS00224,ACC0025,Malaysian RMAF,Spare Part Urgent,High,Closed,MRO Contract Rafale,2022-10-30,2023-03-09,130.0,False,Luc Fabre,Europe,Documentation missing for customs
CAS00225,ACC0008,Croatian Air Force,Warranty Claim,Medium,Closed,Falcon 6X,2020-08-04,2020-09-20,47.0,False,Luc Fabre,Europe,Engine vibration anomaly reported during training
CAS00226,ACC0019,Collins Aerospace India,Training Request,Low,Closed,Rafale F4,2019-01-04,2019-03-31,86.0,False,Thomas Laurent,Europe,Maintenance contract renewal query
CAS00227,ACC0020,Rolls-Royce India,Technical Issue,High,Closed,Falcon 8X,2019-07-09,2019-08-31,53.0,False,Luc Fabre,Europe,Spare part not delivered on time
CAS00228,ACC0027,Swiss Air Force,Delivery Delay,Medium,Closed,Falcon 8X,2023-07-20,2023-09-07,49.0,False,Thomas Laurent,Asia,Maintenance contract renewal query
CAS00229,ACC0030,Kuwait Air Force,Spare Part Urgent,Low,Closed,Falcon 6X,2021-12-29,2022-06-21,174.0,False,Thomas Laurent,Europe,Engine vibration anomaly reported during training
CAS00230,ACC0024,Royal Saudi Air Force,Technical Issue,Critical,Closed,Falcon 8X,2024-08-03,2024-11-21,110.0,False,Thomas Laurent,Middle East,Engine vibration anomaly reported during training
CAS00231,ACC0027,Swiss Air Force,Training Request,Critical,Closed,Rafale F3-R,2022-02-12,2022-04-17,64.0,False,Claire Vidal,Asia,Maintenance contract renewal query
CAS00232,ACC0019,Collins Aerospace India,Training Request,Low,Closed,Falcon 8X,2019-11-21,2020-05-09,170.0,False,Pierre Renard,Europe,Avionics software update required
CAS00233,ACC0018,Honeywell India,Documentation,Medium,In Progress,Rafale F4,2023-11-28,,,,Julie Petit,Europe,Maintenance contract renewal query
CAS00234,ACC0015,MBDA India,Technical Issue,Low,In Progress,Falcon 6X,2023-11-24,,,,Claire Vidal,Europe,Engine vibration anomaly reported during training
CAS00235,ACC0024,Royal Saudi Air Force,Spare Part Urgent,Medium,Closed,Rafale F3-R,2022-08-24,2022-11-28,96.0,False,Julie Petit,Middle East,Spare part not delivered on time
CAS00236,ACC0010,Safran Group,Delivery Delay,Medium,Closed,Falcon 8X,2024-08-07,2024-10-17,71.0,False,Pierre Renard,Europe,Maintenance contract renewal query
CAS00237,ACC0003,Armée de l'Air française,Documentation,Medium,Escalated,Falcon 6X,2021-10-23,,,,Pierre Renard,Europe,Avionics software update required
CAS00238,ACC0007,Indonesian Air Force,Technical Issue,Medium,Closed,Rafale F4,2021-11-23,2022-01-07,45.0,False,Pierre Renard,Asia,Maintenance contract renewal query
CAS00239,ACC0008,Croatian Air Force,Spare Part Urgent,Medium,Open,Falcon 6X,2020-10-14,,,,Luc Fabre,Europe,Spare part not delivered on time
CAS00240,ACC0028,Belgian Air Force,Warranty Claim,Medium,Closed,MRO Contract Rafale,2020-07-21,2020-07-23,2.0,True,Claire Vidal,Europe,Documentation missing for customs
CAS00241,ACC0014,HAL (Hindustan Aeronautics),Technical Issue,Medium,Closed,Falcon 8X,2024-02-01,2024-06-04,124.0,False,Luc Fabre,Middle East,Maintenance contract renewal query
CAS00242,ACC0015,MBDA India,Warranty Claim,Medium,Closed,MRO Contract Rafale,2023-04-05,2023-06-20,76.0,False,Pierre Renard,Europe,Structural inspection due — spare needed
CAS00243,ACC0003,Armée de l'Air française,Warranty Claim,Medium,Closed,Falcon 6X,2020-02-09,2020-04-29,80.0,False,Thomas Laurent,Europe,Maintenance contract renewal query
CAS00244,ACC0015,MBDA India,Documentation,Medium,Closed,Falcon 6X,2023-06-25,2023-10-25,122.0,False,Claire Vidal,Europe,Avionics software update required
CAS00245,ACC0013,Tata Advanced Systems,Technical Issue,Medium,Closed,Falcon 8X,2019-07-11,2019-08-13,33.0,False,Pierre Renard,Europe,Structural inspection due — spare needed
CAS00246,ACC0014,HAL (Hindustan Aeronautics),Delivery Delay,Critical,Closed,Falcon 8X,2022-06-27,2022-09-18,83.0,False,Luc Fabre,Middle East,Documentation missing for customs
CAS00247,ACC0019,Collins Aerospace India,Spare Part Urgent,Medium,Closed,Rafale F4,2024-07-20,2024-12-19,152.0,False,Thomas Laurent,Europe,Documentation missing for customs
CAS00248,ACC0010,Safran Group,Technical Issue,Medium,Escalated,MRO Contract Rafale,2022-02-03,,,,Claire Vidal,Europe,Maintenance contract renewal query
CAS00249,ACC0002,Indian Navy,Spare Part Urgent,Low,Closed,Falcon 6X,2023-08-24,2023-10-07,44.0,False,Pierre Renard,Africa,Maintenance contract renewal query
CAS00250,ACC0017,GE Aviation India,Technical Issue,Critical,Closed,Falcon 6X,2023-11-04,2024-01-14,71.0,False,Pierre Renard,Asia,Documentation missing for customs
CAS00251,ACC0014,HAL (Hindustan Aeronautics),Delivery Delay,High,Closed,Rafale F3-R,2023-11-04,2023-11-14,10.0,True,Claire Vidal,Middle East,Spare part not delivered on time
CAS00252,ACC0002,Indian Navy,Documentation,High,Escalated,Rafale F4,2021-03-05,,,,Pierre Renard,Africa,Engine vibration anomaly reported during training
CAS00253,ACC0029,Finnish Air Force,Technical Issue,Low,Escalated,Falcon 8X,2019-11-20,,,,Luc Fabre,Europe,Avionics software update required
CAS00254,ACC0012,Dassault Reliance Aerospace,Warranty Claim,Medium,Closed,Falcon 8X,2021-10-27,2022-01-18,83.0,False,Claire Vidal,Africa,Spare part not delivered on time
CAS00255,ACC0023,Egyptian Air Force,Training Request,High,Closed,Rafale F3-R,2022-03-31,2022-08-24,146.0,False,Claire Vidal,Europe,Spare part not delivered on time
CAS00256,ACC0014,HAL (Hindustan Aeronautics),Training Request,Medium,Closed,MRO Contract Rafale,2024-02-17,2024-05-16,89.0,False,Pierre Renard,Middle East,Documentation missing for customs
CAS00257,ACC0003,Armée de l'Air française,Delivery Delay,Medium,Closed,Falcon 6X,2024-01-30,2024-06-18,140.0,False,Luc Fabre,Europe,Maintenance contract renewal query
CAS00258,ACC0008,Croatian Air Force,Training Request,Low,Closed,Falcon 6X,2022-09-06,2022-12-17,102.0,False,Pierre Renard,Europe,Maintenance contract renewal query
CAS00259,ACC0007,Indonesian Air Force,Training Request,Medium,Closed,Rafale F3-R,2022-12-26,2023-05-13,138.0,False,Thomas Laurent,Asia,Maintenance contract renewal query
CAS00260,ACC0018,Honeywell India,Training Request,Low,Closed,Rafale F3-R,2020-07-30,2021-01-21,175.0,False,Julie Petit,Europe,Structural inspection due — spare needed
CAS00261,ACC0024,Royal Saudi Air Force,Delivery Delay,High,Closed,Falcon 6X,2020-03-30,2020-07-19,111.0,False,Julie Petit,Middle East,Documentation missing for customs
CAS00262,ACC0021,Boeing India,Spare Part Urgent,High,Closed,MRO Contract Rafale,2024-04-11,2024-05-25,44.0,False,Claire Vidal,Asia,Spare part not delivered on time
CAS00263,ACC0014,HAL (Hindustan Aeronautics),Spare Part Urgent,Medium,Closed,Falcon 6X,2023-01-22,2023-05-27,125.0,False,Thomas Laurent,Middle East,Structural inspection due — spare needed
CAS00264,ACC0024,Royal Saudi Air Force,Technical Issue,High,In Progress,Rafale F3-R,2019-07-19,,,,Julie Petit,Middle East,Engine vibration anomaly reported during training
CAS00265,ACC0022,Lockheed Martin India,Delivery Delay,Low,Closed,Rafale F4,2022-07-05,2022-12-26,174.0,False,Julie Petit,Africa,Maintenance contract renewal query
CAS00266,ACC0015,MBDA India,Delivery Delay,High,In Progress,Rafale F3-R,2020-10-12,,,,Julie Petit,Europe,Engine vibration anomaly reported during training
CAS00267,ACC0021,Boeing India,Delivery Delay,Low,Closed,Falcon 8X,2022-01-27,2022-05-05,98.0,False,Thomas Laurent,Asia,Maintenance contract renewal query
CAS00268,ACC0006,Qatar Emiri Air Force,Training Request,High,In Progress,Rafale F4,2020-09-08,,,,Pierre Renard,Middle East,Structural inspection due — spare needed
CAS00269,ACC0007,Indonesian Air Force,Delivery Delay,High,Escalated,Rafale F4,2022-12-16,,,,Thomas Laurent,Asia,Spare part not delivered on time
CAS00270,ACC0011,Thales Group,Warranty Claim,Critical,Closed,Rafale F3-R,2021-09-12,2021-10-06,24.0,True,Thomas Laurent,Asia,Documentation missing for customs
CAS00271,ACC0011,Thales Group,Warranty Claim,Low,Open,Rafale F4,2022-03-08,,,,Claire Vidal,Asia,Structural inspection due — spare needed
CAS00272,ACC0010,Safran Group,Technical Issue,Medium,Closed,Falcon 8X,2021-02-15,2021-05-15,89.0,False,Luc Fabre,Europe,Maintenance contract renewal query
CAS00273,ACC0020,Rolls-Royce India,Delivery Delay,Medium,Closed,MRO Contract Rafale,2021-05-19,2021-07-22,64.0,False,Julie Petit,Europe,Structural inspection due — spare needed
CAS00274,ACC0026,Singapore Air Force,Warranty Claim,High,In Progress,Rafale F4,2024-03-22,,,,Luc Fabre,Middle East,Engine vibration anomaly reported during training
CAS00275,ACC0030,Kuwait Air Force,Documentation,Medium,Closed,Rafale F4,2019-02-19,2019-03-16,25.0,True,Claire Vidal,Europe,Maintenance contract renewal query
CAS00276,ACC0023,Egyptian Air Force,Training Request,Medium,Closed,Rafale F4,2021-09-16,2021-10-20,34.0,False,Thomas Laurent,Europe,Avionics software update required
CAS00277,ACC0012,Dassault Reliance Aerospace,Technical Issue,Medium,Closed,Falcon 6X,2022-11-06,2023-02-16,102.0,False,Claire Vidal,Africa,Avionics software update required
CAS00278,ACC0008,Croatian Air Force,Technical Issue,High,Closed,Rafale F3-R,2022-10-14,2023-03-06,143.0,False,Pierre Renard,Europe,Avionics software update required
CAS00279,ACC0014,HAL (Hindustan Aeronautics),Documentation,High,Open,MRO Contract Rafale,2023-10-20,,,,Pierre Renard,Middle East,Structural inspection due — spare needed
CAS00280,ACC0009,Airbus Group,Delivery Delay,Low,Closed,Falcon 8X,2021-01-04,2021-01-18,14.0,True,Luc Fabre,Europe,Maintenance contract renewal query
CAS00281,ACC0004,UAE Air Force,Documentation,High,Closed,Rafale F3-R,2021-04-30,2021-06-26,57.0,False,Thomas Laurent,Middle East,Spare part not delivered on time
CAS00282,ACC0016,Reliance Defence,Training Request,Medium,Closed,Rafale F4,2022-09-15,2022-11-28,74.0,False,Julie Petit,Middle East,Engine vibration anomaly reported during training
CAS00283,ACC0027,Swiss Air Force,Technical Issue,High,Closed,Rafale F3-R,2020-06-23,2020-11-25,155.0,False,Julie Petit,Asia,Engine vibration anomaly reported during training
CAS00284,ACC0005,Hellenic Air Force,Spare Part Urgent,Medium,Closed,Falcon 8X,2023-12-14,2024-02-15,63.0,False,Claire Vidal,Europe,Avionics software update required
CAS00285,ACC0022,Lockheed Martin India,Technical Issue,Medium,Closed,Rafale F3-R,2019-12-25,2020-02-10,47.0,False,Thomas Laurent,Africa,Maintenance contract renewal query
CAS00286,ACC0006,Qatar Emiri Air Force,Documentation,Medium,Escalated,Falcon 8X,2020-12-27,,,,Julie Petit,Middle East,Engine vibration anomaly reported during training
CAS00287,ACC0002,Indian Navy,Delivery Delay,Medium,Closed,Rafale F4,2019-01-16,2019-03-22,65.0,False,Thomas Laurent,Africa,Documentation missing for customs
CAS00288,ACC0010,Safran Group,Documentation,Medium,Closed,Falcon 6X,2021-10-25,2021-12-06,42.0,False,Julie Petit,Europe,Engine vibration anomaly reported during training
CAS00289,ACC0009,Airbus Group,Documentation,Critical,Open,Falcon 6X,2020-08-26,,,,Pierre Renard,Europe,Spare part not delivered on time
CAS00290,ACC0030,Kuwait Air Force,Delivery Delay,High,Closed,Falcon 6X,2023-12-14,2024-04-21,129.0,False,Julie Petit,Europe,Engine vibration anomaly reported during training
CAS00291,ACC0028,Belgian Air Force,Spare Part Urgent,High,Closed,Falcon 6X,2024-09-08,2025-01-01,115.0,False,Luc Fabre,Europe,Engine vibration anomaly reported during training
CAS00292,ACC0020,Rolls-Royce India,Warranty Claim,High,Open,Rafale F3-R,2021-06-13,,,,Julie Petit,Europe,Engine vibration anomaly reported during training
CAS00293,ACC0029,Finnish Air Force,Documentation,Low,Closed,Falcon 8X,2019-09-03,2019-10-28,55.0,False,Julie Petit,Europe,Maintenance contract renewal query
CAS00294,ACC0028,Belgian Air Force,Training Request,Low,Closed,Falcon 8X,2023-10-04,2024-02-03,122.0,False,Thomas Laurent,Europe,Documentation missing for customs
CAS00295,ACC0018,Honeywell India,Delivery Delay,Medium,In Progress,Falcon 6X,2023-08-20,,,,Luc Fabre,Europe,Spare part not delivered on time
CAS00296,ACC0010,Safran Group,Delivery Delay,High,Closed,Falcon 8X,2022-01-28,2022-07-11,164.0,False,Thomas Laurent,Europe,Documentation missing for customs
CAS00297,ACC0021,Boeing India,Warranty Claim,Low,Closed,Rafale F3-R,2023-08-20,2024-01-03,136.0,False,Claire Vidal,Asia,Documentation missing for customs
CAS00298,ACC0024,Royal Saudi Air Force,Technical Issue,Medium,Closed,Falcon 6X,2023-08-10,2023-11-04,86.0,False,Pierre Renard,Middle East,Documentation missing for customs
CAS00299,ACC0025,Malaysian RMAF,Warranty Claim,High,Closed,Falcon 6X,2019-10-06,2020-02-15,132.0,False,Thomas Laurent,Europe,Structural inspection due — spare needed
CAS00300,ACC0022,Lockheed Martin India,Warranty Claim,Low,Closed,Falcon 6X,2023-05-03,2023-09-25,145.0,False,Claire Vidal,Africa,Avionics software update required
CAS00301,ACC0001,Indian Air Force,Delivery Delay,Medium,Closed,Falcon 6X,2019-06-21,2019-12-02,164.0,False,Claire Vidal,Asia,Spare part not delivered on time
CAS00302,ACC0006,Qatar Emiri Air Force,Warranty Claim,Medium,Closed,Rafale F3-R,2023-06-07,2023-10-18,133.0,False,Luc Fabre,Middle East,Structural inspection due — spare needed
CAS00303,ACC0006,Qatar Emiri Air Force,Warranty Claim,Critical,Closed,Falcon 8X,2021-01-23,2021-02-25,33.0,False,Claire Vidal,Middle East,Documentation missing for customs
CAS00304,ACC0016,Reliance Defence,Training Request,Medium,Closed,Rafale F4,2023-02-17,2023-04-09,51.0,False,Thomas Laurent,Middle East,Avionics software update required
CAS00305,ACC0014,HAL (Hindustan Aeronautics),Delivery Delay,Low,Closed,Falcon 8X,2019-07-04,2019-09-15,73.0,False,Pierre Renard,Middle East,Engine vibration anomaly reported during training
CAS00306,ACC0006,Qatar Emiri Air Force,Technical Issue,High,In Progress,Rafale F4,2024-04-16,,,,Pierre Renard,Middle East,Structural inspection due — spare needed
CAS00307,ACC0018,Honeywell India,Spare Part Urgent,Medium,In Progress,Rafale F4,2020-08-07,,,,Claire Vidal,Europe,Maintenance contract renewal query
CAS00308,ACC0007,Indonesian Air Force,Documentation,Medium,Open,Falcon 8X,2020-09-17,,,,Julie Petit,Asia,Avionics software update required
CAS00309,ACC0029,Finnish Air Force,Training Request,Low,Closed,MRO Contract Rafale,2020-06-29,2020-07-06,7.0,True,Claire Vidal,Europe,Spare part not delivered on time
CAS00310,ACC0020,Rolls-Royce India,Spare Part Urgent,Low,Closed,Falcon 8X,2019-08-11,2019-12-09,120.0,False,Thomas Laurent,Europe,Avionics software update required
CAS00311,ACC0015,MBDA India,Training Request,Medium,In Progress,Falcon 8X,2019-04-09,,,,Thomas Laurent,Europe,Avionics software update required
CAS00312,ACC0013,Tata Advanced Systems,Spare Part Urgent,High,Closed,Rafale F3-R,2023-03-26,2023-09-19,177.0,False,Julie Petit,Europe,Maintenance contract renewal query
CAS00313,ACC0010,Safran Group,Delivery Delay,Low,Closed,Falcon 8X,2021-05-11,2021-09-18,130.0,False,Luc Fabre,Europe,Structural inspection due — spare needed
CAS00314,ACC0011,Thales Group,Documentation,Medium,Closed,MRO Contract Rafale,2022-10-05,2022-12-30,86.0,False,Thomas Laurent,Asia,Spare part not delivered on time
CAS00315,ACC0013,Tata Advanced Systems,Delivery Delay,Low,Closed,Rafale F4,2023-04-07,2023-05-15,38.0,False,Claire Vidal,Europe,Avionics software update required
CAS00316,ACC0024,Royal Saudi Air Force,Warranty Claim,Medium,Closed,Falcon 6X,2020-10-12,2021-03-23,162.0,False,Julie Petit,Middle East,Maintenance contract renewal query
CAS00317,ACC0020,Rolls-Royce India,Documentation,Medium,Closed,Falcon 6X,2020-11-09,2020-11-24,15.0,True,Pierre Renard,Europe,Spare part not delivered on time
CAS00318,ACC0025,Malaysian RMAF,Training Request,Medium,Closed,Rafale F3-R,2021-09-13,2021-11-17,65.0,False,Luc Fabre,Europe,Documentation missing for customs
CAS00319,ACC0004,UAE Air Force,Technical Issue,Medium,Closed,Falcon 6X,2022-05-06,2022-08-13,99.0,False,Julie Petit,Middle East,Avionics software update required
CAS00320,ACC0006,Qatar Emiri Air Force,Documentation,Medium,Closed,MRO Contract Rafale,2024-08-18,2024-11-25,99.0,False,Thomas Laurent,Middle East,Structural inspection due — spare needed
CAS00321,ACC0006,Qatar Emiri Air Force,Warranty Claim,Low,Closed,Rafale F4,2022-01-18,2022-06-22,155.0,False,Julie Petit,Middle East,Documentation missing for customs
