VBELN_DEL,VBELN_SO,CustomerId,CustomerName,Country,Product,Qty_Ordered,Qty_Delivered,Planned_Delivery_Date,Actual_Delivery_Date,Delay_Days,IsLate,ShipPoint,TransportMode,InspectionStatus,Anomaly
VL0080000161,SD00000304,CUST-EGY-001,Egyptian Air Force,Egypt,MRO_Package_Annual,1,0,2025-05-28,2025-07-27,60,True,Bordeaux,Road,Passed,DELAY_60D
VL0080000162,SD00000305,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Spare_Parts_Bundle,1,1,2021-01-31,2022-01-31,365,True,Nagpur,Sea Freight,Passed,CRITICAL_DELAY_365D
VL0080000163,SD00000306,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Training_Package,1,0,2025-06-26,2025-08-25,60,True,Bordeaux,Sea Freight,Passed,DELAY_60D
VL0080000164,SD00000307,CUST-HRV-001,Croatian Air Force,Croatia,Training_Package,1,1,2021-08-21,2021-11-19,90,True,Nagpur,Sea Freight,Passed,DELAY_90D
VL0080000165,SD00000308,CUST-GRC-001,Hellenic Air Force,Greece,Falcon 10X,7,7,2025-04-15,2025-07-14,90,True,Merignac,Road,Passed,DELAY_90D
VL0080000166,SD00000310,CUST-IND-001,Indian Air Force,India,Falcon 10X,5,5,2023-04-01,2023-05-31,60,True,Merignac,Sea Freight,Conditional,DELAY_60D
VL0080000167,SD00000312,CUST-PRIV-001,Tata Sons Ltd,India,Falcon 8X,5,3,2023-05-03,2023-05-03,0,False,Nagpur,Road,Passed,
VL0080000168,SD00000317,CUST-PRIV-001,Tata Sons Ltd,India,Training_Package,1,0,2019-05-17,2019-05-02,-15,False,Nagpur,Air Freight,Passed,
VL0080000169,SD00000319,CUST-PRIV-002,Reliance Industries,India,Rafale F3-R,7,5,2024-09-14,2024-09-14,0,False,Merignac,Sea Freight,Passed,
VL0080000170,SD00000322,CUST-UAE-001,UAE Air Force,UAE,Falcon 6X,11,11,2024-04-06,2024-04-06,0,False,Nagpur,Road,Passed,
VL0080000171,SD00000325,CUST-PRIV-004,Total Energies,France,Rafale F3-R,1,1,2023-08-19,2023-09-18,30,True,Merignac,Sea Freight,Passed,
VL0080000172,SD00000326,CUST-PRIV-003,Air France,France,Falcon 8X,11,7,2024-12-02,2024-11-17,-15,False,Bordeaux,Air Freight,Passed,
VL0080000173,SD00000328,CUST-PRIV-003,Air France,France,MRO_Package_Annual,1,0,2022-07-26,2022-10-24,90,True,Nagpur,Road,Failed,DELAY_90D
VL0080000174,SD00000329,CUST-IND-002,Indian Navy,India,Training_Package,1,0,2022-07-21,2022-06-21,-30,False,Nagpur,Air Freight,Conditional,
VL0080000175,SD00000331,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Training_Package,1,1,2022-06-09,2022-07-09,30,True,Merignac,Air Freight,Passed,
VL0080000176,SD00000333,CUST-PRIV-001,Tata Sons Ltd,India,Rafale F3-R,4,2,2025-08-27,2025-09-26,30,True,Merignac,Sea Freight,Passed,
VL0080000177,SD00000334,CUST-PRIV-003,Air France,France,Falcon 8X,7,5,2026-11-27,2026-12-27,30,True,Bordeaux,Air Freight,Passed,
VL0080000178,SD00000336,CUST-EGY-001,Egyptian Air Force,Egypt,Rafale F4,8,8,2024-11-27,2024-11-27,0,False,Nagpur,Sea Freight,Failed,
VL0080000179,SD00000337,CUST-IND-001,Indian Air Force,India,Rafale F4,9,5,2021-09-10,2021-10-10,30,True,Merignac,Road,Conditional,
VL0080000180,SD00000338,CUST-IDN-001,Indonesian Air Force,Indonesia,Rafale F4,12,10,2023-08-26,2023-08-26,0,False,Merignac,Sea Freight,Passed,
VL0080000181,SD00000339,CUST-UAE-001,UAE Air Force,UAE,Spare_Parts_Bundle,1,1,2023-06-26,2023-07-26,30,True,Merignac,Road,Passed,
VL0080000182,SD00000340,CUST-PRIV-002,Reliance Industries,India,Rafale F3-R,12,9,2022-01-07,2022-03-08,60,True,Bordeaux,Sea Freight,Passed,DELAY_60D
VL0080000183,SD00000341,CUST-IND-001,Indian Air Force,India,Falcon 6X,11,11,2020-11-10,2020-10-26,-15,False,Nagpur,Sea Freight,Passed,
VL0080000184,SD00000343,CUST-PRIV-001,Tata Sons Ltd,India,MRO_Package_Annual,1,1,2025-10-31,2025-10-31,0,False,Bordeaux,Road,Passed,
VL0080000185,SD00000344,CUST-PRIV-004,Total Energies,France,Rafale F4,10,8,2020-07-02,2020-06-17,-15,False,Merignac,Air Freight,Passed,
VL0080000186,SD00000346,CUST-GRC-001,Hellenic Air Force,Greece,Falcon 10X,5,5,2021-02-03,2021-02-03,0,False,Bordeaux,Road,Passed,
VL0080000187,SD00000350,CUST-UAE-001,UAE Air Force,UAE,MRO_Package_Annual,1,0,2024-10-31,2024-10-31,0,False,Nagpur,Sea Freight,Passed,
VL0080000188,SD00000352,CUST-PRIV-001,Tata Sons Ltd,India,Falcon 8X,10,10,2022-09-11,2022-09-11,0,False,Merignac,Road,Passed,
VL0080000189,SD00000358,CUST-PRIV-003,Air France,France,MRO_Package_Annual,1,0,2024-01-18,2023-12-19,-30,False,Merignac,Air Freight,Passed,
VL0080000190,SD00000360,CUST-EGY-001,Egyptian Air Force,Egypt,Training_Package,1,0,2023-04-28,2023-06-27,60,True,Nagpur,Air Freight,Passed,DELAY_60D
VL0080000191,SD00000363,CUST-GRC-001,Hellenic Air Force,Greece,Rafale F4,1,0,2019-04-08,2019-05-08,30,True,Merignac,Sea Freight,Passed,
VL0080000192,SD00000365,CUST-PRIV-001,Tata Sons Ltd,India,Falcon 6X,10,9,2020-12-25,2021-01-24,30,True,Bordeaux,Road,Passed,
VL0080000193,SD00000366,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Rafale F3-R,10,10,2027-03-04,2027-03-04,0,False,Merignac,Air Freight,Passed,
VL0080000194,SD00000367,CUST-GRC-001,Hellenic Air Force,Greece,MRO_Package_Annual,1,0,2022-12-30,2022-12-30,0,False,Merignac,Road,Passed,
VL0080000195,SD00000374,CUST-IND-001,Indian Air Force,India,Training_Package,1,0,2022-02-07,2022-02-07,0,False,Merignac,Sea Freight,Passed,
VL0080000196,SD00000376,CUST-IDN-001,Indonesian Air Force,Indonesia,Rafale F3-R,10,10,2024-08-30,2024-07-31,-30,False,Merignac,Sea Freight,Passed,
VL0080000197,SD00000377,CUST-EGY-001,Egyptian Air Force,Egypt,MRO_Package_Annual,1,1,2025-09-23,2025-12-22,90,True,Nagpur,Road,Passed,DELAY_90D
VL0080000198,SD00000378,CUST-PRIV-003,Air France,France,Falcon 6X,3,3,2022-09-10,2022-09-10,0,False,Nagpur,Sea Freight,Passed,
VL0080000199,SD00000384,CUST-PRIV-002,Reliance Industries,India,Rafale F3-R,12,10,2021-07-11,2021-07-11,0,False,Nagpur,Sea Freight,Failed,
VL0080000200,SD00000386,CUST-IDN-001,Indonesian Air Force,Indonesia,Falcon 10X,5,5,2019-11-28,2019-12-28,30,True,Bordeaux,Sea Freight,Conditional,
VL0080000201,SD00000389,CUST-PRIV-003,Air France,France,MRO_Package_Annual,1,0,2021-09-29,2021-10-29,30,True,Bordeaux,Sea Freight,Passed,
VL0080000202,SD00000390,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Rafale F3-R,11,8,2024-05-16,2024-06-15,30,True,Bordeaux,Road,Passed,
VL0080000203,SD00000391,CUST-IND-002,Indian Navy,India,Rafale F4,10,5,2025-02-01,2025-02-01,0,False,Bordeaux,Road,Conditional,
VL0080000204,SD00000392,CUST-PRIV-004,Total Energies,France,Falcon 10X,12,8,2024-07-24,2024-09-22,60,True,Bordeaux,Sea Freight,Conditional,DELAY_60D
VL0080000205,SD00000393,CUST-UAE-001,UAE Air Force,UAE,Training_Package,1,0,2019-03-16,2019-03-16,0,False,Merignac,Sea Freight,Passed,
VL0080000206,SD00000395,CUST-PRIV-002,Reliance Industries,India,Falcon 8X,2,1,2019-04-07,2019-04-07,0,False,Nagpur,Road,Conditional,
VL0080000207,SD00000398,CUST-IND-002,Indian Navy,India,Falcon 8X,4,4,2024-11-01,2024-11-01,0,False,Nagpur,Air Freight,Passed,
VL0080000208,SD00000400,CUST-PRIV-002,Reliance Industries,India,Rafale F4,10,7,2027-03-16,2027-06-14,90,True,Bordeaux,Road,Passed,DELAY_90D
VL0080000209,SD00000401,CUST-HRV-001,Croatian Air Force,Croatia,Rafale F3-R,1,0,2021-09-07,2021-09-07,0,False,Bordeaux,Road,Passed,
VL0080000210,SD00000407,CUST-IDN-001,Indonesian Air Force,Indonesia,MRO_Package_Annual,1,0,2022-11-21,2022-11-21,0,False,Bordeaux,Sea Freight,Passed,
VL0080000211,SD00000408,CUST-PRIV-004,Total Energies,France,Rafale F3-R,2,2,2021-07-15,2022-01-11,180,True,Bordeaux,Road,Passed,CRITICAL_DELAY_180D
VL0080000212,SD00000409,CUST-PRIV-004,Total Energies,France,Falcon 8X,3,2,2026-10-02,2026-10-02,0,False,Bordeaux,Sea Freight,Passed,
VL0080000213,SD00000412,CUST-EGY-001,Egyptian Air Force,Egypt,Rafale F4,9,8,2022-10-25,2022-10-25,0,False,Nagpur,Sea Freight,Passed,
VL0080000214,SD00000413,CUST-PRIV-002,Reliance Industries,India,Rafale F3-R,5,5,2023-08-05,2023-10-04,60,True,Nagpur,Sea Freight,Passed,DELAY_60D
VL0080000215,SD00000416,CUST-IND-002,Indian Navy,India,Falcon 8X,1,1,2024-06-11,2024-07-11,30,True,Merignac,Road,Conditional,
VL0080000216,SD00000417,CUST-UAE-001,UAE Air Force,UAE,Falcon 10X,5,5,2020-09-20,2020-09-20,0,False,Merignac,Road,Passed,
VL0080000217,SD00000418,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Spare_Parts_Bundle,1,1,2019-05-18,2019-06-17,30,True,Bordeaux,Road,Passed,
VL0080000218,SD00000420,CUST-PRIV-001,Tata Sons Ltd,India,Falcon 8X,3,3,2020-05-03,2020-04-03,-30,False,Nagpur,Sea Freight,Passed,
VL0080000219,SD00000422,CUST-IND-002,Indian Navy,India,Training_Package,1,0,2026-02-19,2026-02-04,-15,False,Merignac,Road,Passed,
VL0080000220,SD00000427,CUST-PRIV-003,Air France,France,Rafale F4,2,1,2025-02-12,2025-02-12,0,False,Nagpur,Air Freight,Passed,
VL0080000221,SD00000429,CUST-IND-002,Indian Navy,India,Falcon 10X,10,5,2021-01-09,2021-01-09,0,False,Nagpur,Air Freight,Passed,
VL0080000222,SD00000434,CUST-UAE-001,UAE Air Force,UAE,Rafale F4,12,12,2022-11-28,2022-12-28,30,True,Bordeaux,Air Freight,Conditional,
VL0080000223,SD00000435,CUST-GRC-001,Hellenic Air Force,Greece,Rafale F3-R,12,12,2022-11-10,2022-11-10,0,False,Merignac,Road,Passed,
VL0080000224,SD00000437,CUST-IDN-001,Indonesian Air Force,Indonesia,Falcon 8X,9,9,2026-05-26,2026-06-25,30,True,Bordeaux,Road,Passed,
VL0080000225,SD00000438,CUST-PRIV-004,Total Energies,France,Falcon 6X,8,4,2023-09-29,2023-10-29,30,True,Merignac,Air Freight,Passed,
VL0080000226,SD00000439,CUST-EGY-001,Egyptian Air Force,Egypt,Falcon 6X,11,10,2024-03-17,2024-03-17,0,False,Merignac,Sea Freight,Passed,
VL0080000227,SD00000446,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Falcon 6X,12,10,2023-03-25,2023-03-25,0,False,Merignac,Sea Freight,Failed,
VL0080000228,SD00000447,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Rafale F4,4,4,2022-06-22,2022-05-23,-30,False,Merignac,Road,Passed,
VL0080000229,SD00000448,CUST-EGY-001,Egyptian Air Force,Egypt,Rafale F4,6,6,2025-05-23,2025-05-23,0,False,Merignac,Air Freight,Passed,
VL0080000230,SD00000450,CUST-IND-002,Indian Navy,India,Falcon 10X,8,5,2022-12-26,2022-12-26,0,False,Nagpur,Road,Passed,
VL0080000231,SD00000451,CUST-PRIV-001,Tata Sons Ltd,India,MRO_Package_Annual,1,0,2020-07-04,2020-07-04,0,False,Bordeaux,Road,Conditional,
VL0080000232,SD00000454,CUST-IDN-001,Indonesian Air Force,Indonesia,Training_Package,1,0,2022-11-14,2023-01-13,60,True,Nagpur,Road,Conditional,DELAY_60D
VL0080000233,SD00000455,CUST-IDN-001,Indonesian Air Force,Indonesia,Rafale F4,6,3,2024-02-22,2024-02-22,0,False,Bordeaux,Road,Passed,
VL0080000234,SD00000458,CUST-PRIV-003,Air France,France,Spare_Parts_Bundle,1,0,2024-08-03,2025-08-03,365,True,Bordeaux,Air Freight,Conditional,CRITICAL_DELAY_365D
VL0080000235,SD00000460,CUST-PRIV-004,Total Energies,France,Spare_Parts_Bundle,1,1,2022-01-19,2022-03-20,60,True,Merignac,Road,Passed,DELAY_60D
VL0080000236,SD00000461,CUST-IDN-001,Indonesian Air Force,Indonesia,Rafale F3-R,7,6,2020-04-22,2020-05-22,30,True,Nagpur,Sea Freight,Passed,
VL0080000237,SD00000464,CUST-IND-001,Indian Air Force,India,MRO_Package_Annual,1,0,2024-05-28,2024-05-13,-15,False,Merignac,Road,Passed,
VL0080000238,SD00000465,CUST-PRIV-004,Total Energies,France,MRO_Package_Annual,1,1,2022-09-20,2022-11-19,60,True,Bordeaux,Sea Freight,Passed,DELAY_60D
VL0080000239,SD00000466,CUST-EGY-001,Egyptian Air Force,Egypt,Falcon 8X,8,5,2023-09-26,2024-03-24,180,True,Bordeaux,Air Freight,Passed,CRITICAL_DELAY_180D
VL0080000240,SD00000467,CUST-PRIV-003,Air France,France,Falcon 8X,8,8,2021-12-09,2022-02-07,60,True,Nagpur,Air Freight,Passed,DELAY_60D
VL0080000241,SD00000468,CUST-IDN-001,Indonesian Air Force,Indonesia,Rafale F4,7,7,2022-09-05,2022-09-05,0,False,Merignac,Sea Freight,Passed,
VL0080000242,SD00000471,CUST-IND-002,Indian Navy,India,Rafale F3-R,7,4,2021-10-26,2022-01-24,90,True,Bordeaux,Sea Freight,Passed,DELAY_90D
VL0080000243,SD00000472,CUST-IDN-001,Indonesian Air Force,Indonesia,Rafale F3-R,6,4,2020-06-29,2020-06-29,0,False,Merignac,Sea Freight,Passed,
VL0080000244,SD00000475,CUST-GRC-001,Hellenic Air Force,Greece,Rafale F4,12,11,2021-09-23,2021-09-23,0,False,Bordeaux,Sea Freight,Passed,
VL0080000245,SD00000477,CUST-HRV-001,Croatian Air Force,Croatia,Training_Package,1,0,2023-03-03,2023-03-03,0,False,Merignac,Air Freight,Passed,
VL0080000246,SD00000478,CUST-PRIV-002,Reliance Industries,India,Training_Package,1,0,2022-10-24,2022-12-23,60,True,Bordeaux,Road,Passed,DELAY_60D
VL0080000247,SD00000479,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Rafale F3-R,7,7,2024-11-18,2025-02-16,90,True,Merignac,Sea Freight,Passed,DELAY_90D
VL0080000248,SD00000483,CUST-IND-002,Indian Navy,India,Falcon 6X,6,6,2020-02-18,2020-02-18,0,False,Bordeaux,Air Freight,Passed,
VL0080000249,SD00000486,CUST-GRC-001,Hellenic Air Force,Greece,Falcon 8X,1,0,2023-12-31,2024-01-30,30,True,Nagpur,Sea Freight,Passed,
VL0080000250,SD00000490,CUST-PRIV-001,Tata Sons Ltd,India,Spare_Parts_Bundle,1,1,2020-06-10,2020-05-11,-30,False,Nagpur,Air Freight,Passed,
VL0080000251,SD00000494,CUST-PRIV-002,Reliance Industries,India,Training_Package,1,1,2024-01-12,2024-01-12,0,False,Nagpur,Sea Freight,Passed,
VL0080000252,SD00000495,CUST-EGY-001,Egyptian Air Force,Egypt,Rafale F4,9,9,2023-02-23,2023-04-24,60,True,Merignac,Road,Passed,DELAY_60D
VL0080000253,SD00000496,CUST-PRIV-001,Tata Sons Ltd,India,Training_Package,1,1,2026-02-04,2026-08-03,180,True,Bordeaux,Road,Passed,CRITICAL_DELAY_180D
VL0080000254,SD00000498,CUST-PRIV-003,Air France,France,Falcon 10X,7,7,2026-03-11,2026-02-24,-15,False,Bordeaux,Air Freight,Passed,
VL0080000255,SD00000499,CUST-UAE-001,UAE Air Force,UAE,Falcon 8X,6,5,2024-08-10,2024-10-09,60,True,Nagpur,Air Freight,Conditional,DELAY_60D
VL0080000256,SD00000502,CUST-EGY-001,Egyptian Air Force,Egypt,MRO_Package_Annual,1,1,2023-12-26,2023-12-26,0,False,Nagpur,Road,Passed,
VL0080000257,SD00000503,CUST-UAE-001,UAE Air Force,UAE,Falcon 10X,3,3,2020-06-17,2020-06-17,0,False,Nagpur,Air Freight,Conditional,
VL0080000258,SD00000504,CUST-PRIV-002,Reliance Industries,India,Falcon 8X,10,10,2022-01-15,2022-07-14,180,True,Merignac,Sea Freight,Passed,CRITICAL_DELAY_180D
VL0080000259,SD00000505,CUST-IND-001,Indian Air Force,India,Falcon 8X,7,7,2023-05-10,2023-07-09,60,True,Nagpur,Road,Passed,DELAY_60D
VL0080000260,SD00000506,CUST-EGY-001,Egyptian Air Force,Egypt,Rafale F4,8,8,2019-01-15,2018-12-31,-15,False,Nagpur,Sea Freight,Conditional,
VL0080000261,SD00000509,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Spare_Parts_Bundle,1,0,2023-06-28,2023-06-13,-15,False,Merignac,Air Freight,Passed,
VL0080000262,SD00000510,CUST-PRIV-004,Total Energies,France,MRO_Package_Annual,1,0,2023-06-04,2023-07-04,30,True,Bordeaux,Sea Freight,Passed,
VL0080000263,SD00000514,CUST-IDN-001,Indonesian Air Force,Indonesia,Spare_Parts_Bundle,1,1,2021-03-19,2021-04-18,30,True,Nagpur,Air Freight,Passed,
VL0080000264,SD00000516,CUST-IDN-001,Indonesian Air Force,Indonesia,Rafale F3-R,2,2,2027-07-07,2027-07-07,0,False,Merignac,Sea Freight,Passed,
VL0080000265,SD00000517,CUST-EGY-001,Egyptian Air Force,Egypt,Falcon 10X,9,9,2023-06-10,2023-06-10,0,False,Bordeaux,Sea Freight,Passed,
VL0080000266,SD00000518,CUST-GRC-001,Hellenic Air Force,Greece,Spare_Parts_Bundle,1,1,2023-07-04,2023-07-04,0,False,Nagpur,Air Freight,Passed,
VL0080000267,SD00000519,CUST-GRC-001,Hellenic Air Force,Greece,Falcon 10X,9,9,2023-02-22,2023-02-22,0,False,Nagpur,Air Freight,Passed,
VL0080000268,SD00000520,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Training_Package,1,1,2026-09-16,2026-10-16,30,True,Merignac,Air Freight,Passed,
VL0080000269,SD00000521,CUST-GRC-001,Hellenic Air Force,Greece,Falcon 6X,9,9,2024-09-13,2024-11-12,60,True,Nagpur,Sea Freight,Passed,DELAY_60D
VL0080000270,SD00000522,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Falcon 6X,6,4,2018-11-08,2019-02-06,90,True,Merignac,Air Freight,Passed,DELAY_90D
VL0080000271,SD00000523,CUST-PRIV-003,Air France,France,Spare_Parts_Bundle,1,1,2026-04-10,2026-07-09,90,True,Nagpur,Road,Passed,DELAY_90D
VL0080000272,SD00000524,CUST-PRIV-001,Tata Sons Ltd,India,Falcon 10X,5,5,2021-04-15,2021-04-15,0,False,Nagpur,Air Freight,Passed,
VL0080000273,SD00000525,CUST-HRV-001,Croatian Air Force,Croatia,Falcon 10X,7,7,2022-02-21,2022-02-21,0,False,Nagpur,Road,Passed,
VL0080000274,SD00000526,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Rafale F4,9,6,2027-09-17,2027-10-17,30,True,Merignac,Sea Freight,Conditional,
VL0080000275,SD00000529,CUST-HRV-001,Croatian Air Force,Croatia,Falcon 6X,4,4,2026-05-18,2026-11-14,180,True,Merignac,Sea Freight,Passed,CRITICAL_DELAY_180D
VL0080000276,SD00000531,CUST-IDN-001,Indonesian Air Force,Indonesia,Spare_Parts_Bundle,1,1,2025-12-21,2025-12-21,0,False,Merignac,Sea Freight,Passed,
VL0080000277,SD00000532,CUST-HRV-001,Croatian Air Force,Croatia,Falcon 6X,5,5,2023-04-11,2023-05-11,30,True,Nagpur,Air Freight,Passed,
VL0080000278,SD00000533,CUST-GRC-001,Hellenic Air Force,Greece,Rafale F3-R,11,11,2020-10-26,2020-10-26,0,False,Nagpur,Air Freight,Passed,
VL0080000279,SD00000534,CUST-PRIV-004,Total Energies,France,Rafale F4,9,5,2023-08-16,2023-09-15,30,True,Nagpur,Air Freight,Passed,
VL0080000280,SD00000536,CUST-PRIV-002,Reliance Industries,India,Falcon 8X,8,8,2022-07-26,2022-07-26,0,False,Nagpur,Sea Freight,Passed,
VL0080000281,SD00000541,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Falcon 6X,1,1,2021-12-13,2021-12-13,0,False,Merignac,Sea Freight,Passed,
VL0080000282,SD00000542,CUST-HRV-001,Croatian Air Force,Croatia,Spare_Parts_Bundle,1,1,2022-10-11,2022-11-10,30,True,Bordeaux,Sea Freight,Passed,
VL0080000283,SD00000545,CUST-IND-001,Indian Air Force,India,Falcon 6X,1,1,2021-09-30,2021-10-30,30,True,Bordeaux,Road,Passed,
VL0080000284,SD00000546,CUST-PRIV-001,Tata Sons Ltd,India,Falcon 8X,10,10,2022-02-07,2022-04-08,60,True,Merignac,Sea Freight,Conditional,DELAY_60D
VL0080000285,SD00000547,CUST-EGY-001,Egyptian Air Force,Egypt,MRO_Package_Annual,1,1,2023-03-05,2023-02-18,-15,False,Bordeaux,Sea Freight,Passed,
VL0080000286,SD00000549,CUST-PRIV-001,Tata Sons Ltd,India,Rafale F3-R,9,9,2020-01-10,2020-03-10,60,True,Merignac,Air Freight,Passed,DELAY_60D
VL0080000287,SD00000553,CUST-IND-001,Indian Air Force,India,Falcon 8X,9,9,2025-10-28,2025-11-27,30,True,Nagpur,Road,Passed,
VL0080000288,SD00000555,CUST-GRC-001,Hellenic Air Force,Greece,Falcon 6X,12,12,2024-03-03,2024-03-03,0,False,Nagpur,Air Freight,Conditional,
VL0080000289,SD00000556,CUST-HRV-001,Croatian Air Force,Croatia,Falcon 10X,9,9,2021-10-19,2021-12-18,60,True,Bordeaux,Road,Passed,DELAY_60D
VL0080000290,SD00000560,CUST-HRV-001,Croatian Air Force,Croatia,Spare_Parts_Bundle,1,0,2026-10-09,2026-09-24,-15,False,Nagpur,Sea Freight,Passed,
VL0080000291,SD00000563,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Falcon 8X,1,1,2024-09-21,2024-09-21,0,False,Merignac,Road,Passed,
VL0080000292,SD00000565,CUST-IND-001,Indian Air Force,India,Training_Package,1,1,2023-08-07,2023-08-07,0,False,Nagpur,Road,Passed,
VL0080000293,SD00000566,CUST-PRIV-004,Total Energies,France,Rafale F4,4,3,2019-10-29,2019-10-29,0,False,Bordeaux,Road,Passed,
VL0080000294,SD00000567,CUST-IDN-001,Indonesian Air Force,Indonesia,Falcon 8X,1,1,2025-03-15,2025-04-14,30,True,Nagpur,Road,Passed,
VL0080000295,SD00000568,CUST-IND-001,Indian Air Force,India,MRO_Package_Annual,1,0,2020-07-01,2020-07-01,0,False,Nagpur,Air Freight,Passed,
VL0080000296,SD00000571,CUST-PRIV-002,Reliance Industries,India,Spare_Parts_Bundle,1,0,2026-10-22,2027-01-20,90,True,Nagpur,Air Freight,Passed,DELAY_90D
VL0080000297,SD00000577,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Training_Package,1,0,2026-06-20,2026-06-05,-15,False,Bordeaux,Air Freight,Passed,
VL0080000298,SD00000579,CUST-GRC-001,Hellenic Air Force,Greece,Rafale F4,8,4,2023-05-18,2023-05-18,0,False,Nagpur,Sea Freight,Passed,
VL0080000299,SD00000582,CUST-IND-001,Indian Air Force,India,Rafale F3-R,5,5,2021-04-26,2021-03-27,-30,False,Merignac,Road,Passed,
VL0080000300,SD00000585,CUST-IDN-001,Indonesian Air Force,Indonesia,Rafale F3-R,3,3,2023-09-01,2023-09-01,0,False,Merignac,Air Freight,Passed,
VL0080000301,SD00000587,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Falcon 10X,1,1,2024-06-24,2024-07-24,30,True,Merignac,Road,Passed,
VL0080000302,SD00000589,CUST-PRIV-001,Tata Sons Ltd,India,Falcon 10X,4,4,2021-07-18,2021-10-16,90,True,Nagpur,Sea Freight,Passed,DELAY_90D
VL0080000303,SD00000592,CUST-IND-001,Indian Air Force,India,Training_Package,1,1,2023-08-03,2023-10-02,60,True,Nagpur,Sea Freight,Passed,DELAY_60D
VL0080000304,SD00000593,CUST-PRIV-003,Air France,France,Falcon 8X,11,11,2021-11-16,2022-01-15,60,True,Merignac,Road,Passed,DELAY_60D
VL0080000305,SD00000594,CUST-PRIV-002,Reliance Industries,India,MRO_Package_Annual,1,1,2023-11-28,2023-12-28,30,True,Merignac,Road,Conditional,
VL0080000306,SD00000600,CUST-EGY-001,Egyptian Air Force,Egypt,Rafale F3-R,10,10,2021-05-21,2021-05-21,0,False,Merignac,Road,Passed,
VL0080000307,SD00000601,CUST-PRIV-002,Reliance Industries,India,MRO_Package_Annual,1,1,2022-12-21,2022-11-21,-30,False,Nagpur,Road,Passed,
VL0080000308,SD00000604,CUST-IND-001,Indian Air Force,India,Rafale F4,12,12,2024-10-22,2024-10-22,0,False,Bordeaux,Sea Freight,Passed,
VL0080000309,SD00000608,CUST-IND-001,Indian Air Force,India,Rafale F4,6,3,2018-12-02,2018-11-17,-15,False,Merignac,Air Freight,Passed,
VL0080000310,SD00000610,CUST-PRIV-002,Reliance Industries,India,MRO_Package_Annual,1,1,2021-10-13,2021-12-12,60,True,Merignac,Sea Freight,Conditional,DELAY_60D
VL0080000311,SD00000612,CUST-PRIV-001,Tata Sons Ltd,India,Spare_Parts_Bundle,1,0,2024-02-17,2024-02-17,0,False,Bordeaux,Road,Passed,
VL0080000312,SD00000613,CUST-PRIV-001,Tata Sons Ltd,India,Falcon 6X,4,4,2025-07-10,2025-09-08,60,True,Nagpur,Road,Passed,DELAY_60D
VL0080000313,SD00000616,CUST-UAE-001,UAE Air Force,UAE,Falcon 8X,12,12,2025-01-21,2025-02-20,30,True,Merignac,Air Freight,Passed,
VL0080000314,SD00000618,CUST-PRIV-002,Reliance Industries,India,Falcon 8X,5,5,2025-02-16,2025-01-17,-30,False,Bordeaux,Air Freight,Passed,
VL0080000315,SD00000619,CUST-PRIV-003,Air France,France,Falcon 8X,1,0,2020-08-28,2020-11-26,90,True,Merignac,Road,Passed,DELAY_90D
VL0080000316,SD00000621,CUST-IND-002,Indian Navy,India,Falcon 8X,10,10,2025-10-08,2025-11-07,30,True,Bordeaux,Sea Freight,Conditional,
VL0080000317,SD00000622,CUST-HRV-001,Croatian Air Force,Croatia,Rafale F3-R,8,5,2020-05-27,2020-05-27,0,False,Nagpur,Sea Freight,Passed,
VL0080000318,SD00000623,CUST-HRV-001,Croatian Air Force,Croatia,Falcon 10X,4,4,2021-04-05,2021-04-05,0,False,Merignac,Road,Passed,
VL0080000319,SD00000624,CUST-IDN-001,Indonesian Air Force,Indonesia,Training_Package,1,0,2021-03-14,2021-03-14,0,False,Bordeaux,Sea Freight,Passed,
VL0080000320,SD00000626,CUST-PRIV-002,Reliance Industries,India,Falcon 10X,3,3,2019-08-27,2019-10-26,60,True,Nagpur,Road,Passed,DELAY_60D
VL0080000321,SD00000627,CUST-IDN-001,Indonesian Air Force,Indonesia,Falcon 10X,1,1,2026-01-07,2026-01-07,0,False,Merignac,Sea Freight,Passed,
VL0080000322,SD00000628,CUST-HRV-001,Croatian Air Force,Croatia,Falcon 8X,6,6,2020-12-05,2020-12-05,0,False,Merignac,Air Freight,Passed,
VL0080000323,SD00000630,CUST-QAT-001,Qatar Emiri Air Force,Qatar,MRO_Package_Annual,1,0,2021-06-02,2021-08-01,60,True,Bordeaux,Road,Passed,DELAY_60D
